状態数,1,2,3,4,5
16,30.88293806s,32.78562599s,34.968742473s,37.14081478s,39.206596456s
25,48.21170998s,51.1974668s,54.258744606s,57.7124996s,1m1.186380972s
36,1m9.21004454s,1m13.88308315s,1m19.4161152s,1m23.17291852s,1m28.177189204s
